trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
919,False,"{'a': 0.5, 'e': 0.19111339769520508}",25,19,14.703278596493426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,0,30.832951649469162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
921,False,"{'a': 0.5, 'e': 0.18816783820867322}",20,14,-0.7923364788719156,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
922,False,"{'a': 0.5, 'e': 0.18669442174195539}",30,13,33.06476731479658,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
923,False,"{'a': 0.5, 'e': 0.18522058521286738}",25,11,18.861491244880387,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.5, 'e': 0.18374633193754078}",20,8,6.95245209356354,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
925,False,"{'a': 0.5, 'e': 0.18227166523304508}",20,6,27.79672499892813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.5, 'e': 0.18079658841737928}",20,11,-8.84094673220663,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
927,False,"{'a': 0.5, 'e': 0.1793211048094658}",30,22,13.51166625270825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.5, 'e': 0.17784521772914216}",20,10,9.82547991079742,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
929,False,"{'a': 0.5, 'e': 0.17636893049715385}",20,11,-10.506934343944085,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
930,False,"{'a': 0.5, 'e': 0.17489224643514614}",20,13,13.044871591088876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.5, 'e': 0.17341516886565772}",25,13,8.62416637992291,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
932,False,"{'a': 0.5, 'e': 0.17193770111211254}",25,12,15.627613730743368,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.5, 'e': 0.17045984649881257}",20,12,13.9726924897175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.5, 'e': 0.1689816083509297}",25,17,13.982907990177804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.5, 'e': 0.16750298999449934}",20,0,-17.019586858356853,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
936,False,"{'a': 0.5, 'e': 0.1660239947564121}",20,0,-20.07023367465658,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
937,False,"{'a': 0.5, 'e': 0.16454462596440697}",20,16,8.657823456159196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.5, 'e': 0.16306488694706261}",20,2,1.2967187713852448,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
939,False,"{'a': 0.5, 'e': 0.1615847810337914}",25,14,15.317421635586234,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
940,False,"{'a': 0.5, 'e': 0.16010431155483126}",25,16,5.429659252964726,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
941,False,"{'a': 0.5, 'e': 0.15862348184123745}",20,6,-23.436623071013464,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
942,False,"{'a': 0.5, 'e': 0.1571422952248764}",25,0,30.98356371513779,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
